date,day,exercise,sets,reps,kg,time
,Day 1,Rowing (warm-up),1,,,5:00
,Day 1,Romanian deadlift,4,,0,
,Day 1,Dumbbell bench press,4,,0,
,Day 1,Barbell front squat,4,,0,
,Day 1,Underhand lat pulldown,3,,0,
,Day 1,Smith machine bent-over row,3,,0,
,Day 1,Lying single dumbbell tricep extension,3,,0,
,Day 1,Face pull,3,,0,
,Day 1,Standing calf raise,3,,0,
,Day 2,Rowing (warm-up),1,,,5:00
,Day 2,Barbell back squat,4,,0,
,Day 2,Dumbbell hamstring curl,3,,0,
,Day 2,Sumo deadlift,4,,0,
,Day 2,Dumbbell raised lunge,3,,0,
,Day 2,Barbell hip thrust,4,,0,
,Day 2,Standing calf raise,3,,0,
,Day 2,Cross crunch,3,,0,
,Day 2,Pallof press,3,,0,
,Day 3,Rowing (warm-up),1,,,5:00
,Day 3,Dumbbell incline close-grip hammer press,4,,0,
,Day 3,Assisted pull-up,4,,0,
,Day 3,Overhead press,3,,0,
,Day 3,Chest-supported low row,4,,0,
,Day 3,Lateral raise,3,,0,
,Day 3,Cable flyes,3,,0,
,Day 3,Dumbbell bench hammer curl,3,,0,
,Day 3,Hanging leg raise,3,,0,
